ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300999.SZ,20231229,33.4,33.56,33.19,33.38,33.44,-0.06,-0.1794,51416.52,171544.887
300999.SZ,20231228,32.59,33.49,32.36,33.44,32.38,1.06,3.2736,73530.38,243156.461
300999.SZ,20231227,32.37,32.63,32.15,32.38,32.38,0.0,0.0,43300.09,140124.91
300999.SZ,20231226,32.52,32.58,32.18,32.38,32.49,-0.11,-0.3386,29287.29,94734.424
300999.SZ,20231225,32.25,32.54,32.24,32.49,32.34,0.15,0.4638,28979.05,93898.925
300999.SZ,20231222,32.48,32.68,32.06,32.34,32.46,-0.12,-0.3697,44682.61,144532.731
300999.SZ,20231221,32.0,32.55,31.94,32.46,32.08,0.38,1.1845,38204.0,123363.511
300999.SZ,20231220,32.51,32.64,32.06,32.08,32.51,-0.43,-1.3227,37049.5,119605.845
300999.SZ,20231219,32.31,32.64,32.26,32.51,32.4,0.11,0.3395,35495.51,115057.464
300999.SZ,20231218,32.32,32.59,32.12,32.4,32.42,-0.02,-0.0617,29878.97,96716.641
300999.SZ,20231215,32.5,32.98,32.39,32.42,32.52,-0.1,-0.3075,42619.16,138957.57
300999.SZ,20231214,32.98,33.04,32.51,32.52,32.71,-0.19,-0.5809,37808.02,123774.448
300999.SZ,20231213,33.37,33.42,32.68,32.71,33.48,-0.77,-2.2999,51075.46,168521.25
300999.SZ,20231212,33.6,33.74,33.35,33.48,33.69,-0.21,-0.6233,31873.0,106674.475
300999.SZ,20231211,33.2,33.78,32.41,33.69,33.47,0.22,0.6573,61098.0,202164.326
300999.SZ,20231208,33.2,33.65,33.2,33.47,33.3,0.17,0.5105,46305.35,154737.321
300999.SZ,20231207,33.51,33.54,33.15,33.3,33.44,-0.14,-0.4187,47758.0,159133.273
300999.SZ,20231206,33.1,33.84,33.1,33.44,33.18,0.26,0.7836,51764.71,173597.082
300999.SZ,20231205,33.5,33.75,33.17,33.18,33.51,-0.33,-0.9848,59437.84,199173.473
300999.SZ,20231204,33.9,33.91,33.22,33.51,33.76,-0.25,-0.7405,72348.0,242274.839
300999.SZ,20231201,34.81,34.83,33.5,33.76,34.91,-1.15,-3.2942,111060.83,375993.051
300999.SZ,20231130,34.65,34.98,34.3,34.91,34.56,0.35,1.0127,61251.13,212802.341
300999.SZ,20231129,34.9,34.95,34.45,34.56,34.84,-0.28,-0.8037,35470.55,122742.624
300999.SZ,20231128,34.48,34.89,34.35,34.84,34.54,0.3,0.8686,43853.95,152134.263
300999.SZ,20231127,35.19,35.22,34.32,34.54,35.18,-0.64,-1.8192,78598.64,271855.316
300999.SZ,20231124,35.09,35.36,34.85,35.18,35.09,0.09,0.2565,51334.69,180225.207
300999.SZ,20231123,35.07,35.24,34.73,35.09,35.13,-0.04,-0.1139,40679.1,142116.718
300999.SZ,20231122,35.03,35.44,35.02,35.13,35.21,-0.08,-0.2272,53645.0,189180.515
300999.SZ,20231121,35.1,35.45,35.01,35.21,35.01,0.2,0.5713,65577.77,231272.902
300999.SZ,20231120,34.53,35.03,34.43,35.01,34.5,0.51,1.4783,40890.36,142274.316
300999.SZ,20231117,34.57,34.68,34.3,34.5,34.65,-0.15,-0.4329,34805.0,119937.487
300999.SZ,20231116,35.1,35.27,34.61,34.65,35.24,-0.59,-1.6742,40379.25,140859.547
300999.SZ,20231115,34.9,35.35,34.85,35.24,34.69,0.55,1.5855,79223.96,278576.713
300999.SZ,20231114,34.5,34.82,34.48,34.69,34.55,0.14,0.4052,35352.28,122496.556
300999.SZ,20231113,34.8,34.94,34.4,34.55,34.71,-0.16,-0.461,43276.69,149671.11
300999.SZ,20231110,34.78,34.83,34.5,34.71,34.83,-0.12,-0.3445,49817.94,172709.163
300999.SZ,20231109,34.9,35.15,34.8,34.83,34.99,-0.16,-0.4573,39453.84,138078.199
300999.SZ,20231108,35.1,35.25,34.74,34.99,35.09,-0.1,-0.285,47365.75,165785.558
300999.SZ,20231107,34.96,35.18,34.71,35.09,35.0,0.09,0.2571,53184.75,186000.253
300999.SZ,20231106,34.99,35.17,34.81,35.0,34.85,0.15,0.4304,63591.67,222238.892
300999.SZ,20231103,34.58,35.03,34.51,34.85,34.65,0.2,0.5772,66711.54,232109.121
300999.SZ,20231102,35.0,35.26,34.6,34.65,34.97,-0.32,-0.9151,59979.53,209496.243
300999.SZ,20231101,35.0,35.13,34.83,34.97,35.0,-0.03,-0.0857,67775.88,237224.312
300999.SZ,20231031,34.41,35.07,34.35,35.0,34.55,0.45,1.3025,94294.48,328792.166
300999.SZ,20231030,34.15,34.82,34.11,34.55,34.49,0.06,0.174,95514.26,330116.303
300999.SZ,20231027,33.43,34.54,33.3,34.49,32.82,1.67,5.0884,162035.83,553082.372
300999.SZ,20231026,32.33,32.88,32.14,32.82,32.51,0.31,0.9536,55729.5,180953.28
300999.SZ,20231025,32.05,32.61,31.8,32.51,31.72,0.79,2.4905,71796.8,232244.434
300999.SZ,20231024,31.46,31.8,31.06,31.72,31.34,0.38,1.2125,52642.0,165592.801
300999.SZ,20231023,32.04,32.08,31.11,31.34,32.11,-0.77,-2.398,59692.96,188287.268
300999.SZ,20231020,32.21,32.44,32.04,32.11,32.27,-0.16,-0.4958,45062.0,145076.086
300999.SZ,20231019,32.58,32.79,32.27,32.27,32.8,-0.53,-1.6159,52399.0,170395.154
300999.SZ,20231018,33.4,33.4,32.78,32.8,33.48,-0.68,-2.0311,55831.58,184508.362
300999.SZ,20231017,33.67,33.8,33.44,33.48,33.67,-0.19,-0.5643,40614.44,136411.651
300999.SZ,20231016,34.22,34.24,33.6,33.67,34.16,-0.49,-1.4344,50721.99,171407.807
300999.SZ,20231013,34.59,34.62,34.06,34.16,34.78,-0.62,-1.7826,48430.0,166019.26
300999.SZ,20231012,34.88,35.19,34.64,34.78,34.49,0.29,0.8408,71198.06,248732.715
300999.SZ,20231011,34.53,34.74,34.28,34.49,34.35,0.14,0.4076,43239.87,149334.94
300999.SZ,20231010,34.54,34.87,34.27,34.35,34.26,0.09,0.2627,44771.8,154535.515
300999.SZ,20231009,34.34,34.38,33.74,34.26,34.38,-0.12,-0.349,54815.0,186562.357
300999.SZ,20230928,34.73,34.8,34.28,34.38,34.58,-0.2,-0.5784,51246.42,176334.269
300999.SZ,20230927,34.66,34.97,34.53,34.58,34.59,-0.01,-0.0289,36645.13,127215.713
300999.SZ,20230926,34.93,35.02,34.56,34.59,34.94,-0.35,-1.0017,33290.0,115577.555
300999.SZ,20230925,35.41,35.44,34.88,34.94,35.31,-0.37,-1.0479,35311.01,123674.458
300999.SZ,20230922,34.47,35.35,34.32,35.31,34.59,0.72,2.0815,53198.29,185819.819
300999.SZ,20230921,35.07,35.19,34.56,34.59,35.17,-0.58,-1.6491,44272.9,154185.198
300999.SZ,20230920,35.1,35.32,34.93,35.17,35.06,0.11,0.3137,29810.42,104835.843
300999.SZ,20230919,35.31,35.35,34.9,35.06,35.35,-0.29,-0.8204,35385.05,123977.35
300999.SZ,20230918,35.01,35.45,34.82,35.35,35.19,0.16,0.4547,38019.67,134010.724
300999.SZ,20230915,35.13,35.34,34.9,35.19,35.1,0.09,0.2564,45543.69,160002.762
300999.SZ,20230914,35.18,35.34,34.9,35.1,35.32,-0.22,-0.6229,41909.55,147045.113
300999.SZ,20230913,35.64,35.74,35.25,35.32,35.51,-0.19,-0.5351,42688.38,151399.93
300999.SZ,20230912,35.45,35.73,35.37,35.51,35.5,0.01,0.0282,32982.45,117182.529
300999.SZ,20230911,35.09,35.6,34.83,35.5,35.02,0.48,1.3706,42471.36,149950.313
300999.SZ,20230908,35.02,35.25,34.98,35.02,35.13,-0.11,-0.3131,30738.47,107851.254
300999.SZ,20230907,35.66,35.73,35.1,35.13,35.72,-0.59,-1.6517,54714.56,193424.651
300999.SZ,20230906,35.71,35.85,35.57,35.72,35.85,-0.13,-0.3626,33611.04,119959.194
300999.SZ,20230905,35.81,35.94,35.63,35.85,35.93,-0.08,-0.2227,39162.87,140145.629
300999.SZ,20230904,36.0,36.09,35.65,35.93,35.86,0.07,0.1952,51168.08,183689.288
300999.SZ,20230901,35.66,36.08,35.6,35.86,35.66,0.2,0.5609,43352.47,155231.348
300999.SZ,20230831,35.51,35.68,35.28,35.66,35.55,0.11,0.3094,42773.17,151938.755
300999.SZ,20230830,35.69,35.98,35.55,35.55,35.68,-0.13,-0.3643,59347.7,212040.862
300999.SZ,20230829,34.93,35.77,34.93,35.68,35.13,0.55,1.5656,60331.18,213985.604
300999.SZ,20230828,36.42,36.66,34.9,35.13,34.82,0.31,0.8903,102782.84,366552.233
300999.SZ,20230825,34.66,35.14,34.52,34.82,34.79,0.03,0.0862,60334.65,210336.206
300999.SZ,20230824,34.61,34.97,34.47,34.79,34.48,0.31,0.8991,57486.72,199845.038
300999.SZ,20230823,34.89,35.09,34.43,34.48,35.14,-0.66,-1.8782,60431.07,209639.524
300999.SZ,20230822,35.23,35.41,34.4,35.14,35.24,-0.1,-0.2838,85294.64,297695.735
300999.SZ,20230821,35.65,35.81,35.23,35.24,35.64,-0.4,-1.1223,62663.07,222176.423
300999.SZ,20230818,36.15,36.26,35.64,35.64,36.28,-0.64,-1.7641,68281.28,245297.98
300999.SZ,20230817,35.82,36.34,35.74,36.28,36.12,0.16,0.443,69361.21,249999.81
300999.SZ,20230816,35.9,36.2,35.54,36.12,36.12,0.0,0.0,89042.82,320104.087
300999.SZ,20230815,36.72,36.88,36.0,36.12,37.04,-0.92,-2.4838,194492.29,704404.42
300999.SZ,20230814,38.99,38.99,36.6,37.04,41.2,-4.16,-10.0971,326013.77,1216892.054
300999.SZ,20230811,41.99,42.2,41.2,41.2,42.0,-0.8,-1.9048,55839.92,231978.375
300999.SZ,20230810,41.99,42.25,41.77,42.0,42.01,-0.01,-0.0238,43729.0,183382.878
300999.SZ,20230809,41.65,42.1,41.61,42.01,41.84,0.17,0.4063,46390.02,194430.128
300999.SZ,20230808,42.2,42.3,41.35,41.84,42.05,-0.21,-0.4994,60195.74,251172.422
300999.SZ,20230807,41.68,42.12,41.61,42.05,41.81,0.24,0.574,58300.09,244354.715
300999.SZ,20230804,42.16,42.36,41.75,41.81,41.95,-0.14,-0.3337,66010.52,277230.376
